iter	Passed	Remaining
0	2	217
1	4	197
2	5	170
3	6	158
4	7	148
5	8	139
6	9	131
7	11	126
8	13	132
9	15	135
10	17	141
11	19	146
12	21	147
13	24	149
14	25	146
15	28	147
16	29	143
17	30	139
18	32	137
19	34	136
20	36	136
21	38	137
22	41	137
23	43	138
24	45	135
25	45	130
26	47	127
27	48	123
28	49	120
29	50	116
30	50	113
31	51	109
32	52	106
33	53	103
34	54	100
35	55	97
36	55	94
37	56	92
38	58	91
39	59	89
40	60	87
41	61	84
42	62	82
43	63	80
44	64	78
45	64	76
46	65	73
47	66	71
48	66	69
49	67	67
50	68	65
51	69	64
52	70	62
53	71	60
54	72	59
55	73	57
56	74	56
57	76	55
58	78	54
59	80	53
60	81	52
61	82	50
62	83	48
63	84	47
64	84	45
65	85	44
66	86	42
67	87	41
68	88	39
69	89	38
70	90	37
71	91	35
72	92	34
73	92	32
74	93	31
75	94	29
76	95	28
77	95	27
78	96	25
79	97	24
80	98	23
81	99	21
82	100	20
83	100	19
84	101	17
85	103	16
86	104	15
87	105	14
88	106	13
89	107	11
90	108	10
91	108	9
92	109	8
93	110	7
94	111	5
95	112	4
96	112	3
97	113	2
98	114	1
99	114	0
